datetimes,neighborhoods,titles,addresses,property_types,bedrooms,bathrooms,sqfts,prices,links
2020-08-19 09:05:00,Date & 8Th Ave,Condo- Downtown - Cortez Hill,1650 8th Ave #303 near Date,condo,2.0,2.0,1200.0,2350,https://sandiego.craigslist.org/csd/apa/d/san-diego-condo-downtown-cortez-hill/7180302700.html
2020-08-19 09:05:00,Carlsbad Village,Our Only 1bd Still Available! Reserve It Today!,935 Laguna Drive,apartment,1.0,1.0,750.0,1825,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-our-only-1bd-still-available/7180302682.html
2020-08-19 09:05:00,La Jolla,In The Heart Of UTC/LA JOLLA! Call today! Amazing Specials!,7205 Charmant Dr.,apartment,1.0,1.0,626.0,2190,https://sandiego.craigslist.org/csd/apa/d/la-jolla-in-the-heart-of-utc-la-jolla/7180302481.html
2020-08-19 09:05:00,Escondido,2X2 AVAILABLE NOW! $900* MOVE IN CREDIT! APPLY FREE TODAY!,2035 S. ESCONDIDO BLVD.,apartment,2.0,2.0,,1935,https://sandiego.craigslist.org/nsd/apa/d/escondido-2x2-available-now-900-move-in/7180302332.html
2020-08-19 09:05:00,Chula Vista,$1805* 2 BEDROOM 1.5  BATHROOM  !,1121 Fourth Avenue,apartment,2.0,2.0,,1805,https://sandiego.craigslist.org/ssd/apa/d/chula-vista-bedroom-15-bathroom/7180302288.html
2020-08-19 09:05:00,Santee,GORGEOUS UPSTAIRS ONE BEDROOM ONE BATHROOM! MOVE IN TODAY!,Graves Ave near Prospect Ave,apartment,1.0,1.0,,1505,https://sandiego.craigslist.org/csd/apa/d/santee-gorgeous-upstairs-one-bedroom/7180302296.html
2020-08-19 09:04:00,Playas De Tijuana,......APARTMENT FOR RENT ( FIRST FLOOR ),,apartment,2.0,2.0,,800,https://sandiego.craigslist.org/ssd/apa/d/imperial-beach-apartment-for-rent-first/7177626288.html
2020-08-19 09:03:00,1045 Fourth Avenue,SPACIOUS 2 BEDROOM 2 BATH /GATED & PET FRIENDLY COMMUNITY!!!,1045 4th avenue near 4TH AVE,apartment,2.0,2.0,,1870,https://sandiego.craigslist.org/ssd/apa/d/chula-vista-spacious-2-bedroom-2-bath/7180301413.html
2020-08-19 09:03:00,Escondido,"DOWNSTAIRS 2X2 IS WAITING FOR YOU! $900* MOVE IN CREDIT, APPLY FREE!",2035 S. ESCONDIDO BLVD.,apartment,2.0,2.0,,1935,https://sandiego.craigslist.org/nsd/apa/d/escondido-downstairs-2x2-is-waiting-for/7180301208.html
2020-08-19 09:03:00,"Oceanside,Vista",EASY ONLINE $0 APPLICATION COSTS! + $900* MOVE IN CREDIT,1904 College Blvd near Oceanside Boulevard,apartment,2.0,2.0,,1920,https://sandiego.craigslist.org/nsd/apa/d/oceanside-easy-online-0-application/7180301017.html
2020-08-19 09:03:00,Carlsbad Village,Jr. 1bd Apartments! Wait List Available!,1000 Chinquapin Avenue,apartment,1.0,1.0,420.0,1545,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-jr-1bd-apartments-wait-list/7180300934.html
2020-08-19 09:03:00,Nimitz Blvd And W Point Loma Blvd,Updated Features | Gated Community | Great Sun Deck and Outdoor Space,4392 W Point Loma Blvd,apartment,1.0,1.0,595.0,1815,https://sandiego.craigslist.org/csd/apa/d/san-diego-updated-features-gated/7180279955.html
2020-08-19 09:02:00,Scripps Ranch/ Mira Mesa,Top Floor 2 Bed 2 Bath Available Now! Enjoy $1000 Off Move In! 🤩,,apartment,2.0,2.0,980.0,1895,https://sandiego.craigslist.org/csd/apa/d/san-diego-top-floor-2-bed-2-bath/7180300367.html
2020-08-19 09:02:00,Escondido,Come Live In This One Bedroom Masterpiece! New Remodel With Full W/D!,1361 West 9th Avenue near Valley Parkway,apartment,1.0,1.0,664.0,1825,https://sandiego.craigslist.org/nsd/apa/d/escondido-come-live-in-this-one-bedroom/7180300170.html
2020-08-19 09:02:00,Chula Vista,$99 DEPOSIT!!!  1 BEDROOM 1 BATHROOM COMING SOON!!!,1105 Fourth Ave,apartment,1.0,1.0,,1565,https://sandiego.craigslist.org/ssd/apa/d/chula-vista-99-deposit-1-bedroom-1/7180300118.html
2020-08-19 09:02:00,Carlsbad,Great 1BR/1BA in Coastal Carlsbad 1.5 Blocks from the Beach!!,382 Acacia Ave,apartment,1.0,1.0,700.0,1775,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-great-1br-1ba-in-coastal/7173121532.html
2020-08-19 09:01:00,Carlsbad,Spacious 2 Bedroom 2 Bath Downstairs Unit Blocks to the Beach!,382 Acacia Ave,apartment,2.0,2.0,775.0,2195,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-spacious-2-bedroom-2-bath/7173357670.html
2020-08-19 09:01:00,Mission Valley,Condo in beautiful community!,5958 Rancho Mission Rd near Ward Rd,apartment,1.0,1.0,604.0,1650,https://sandiego.craigslist.org/esd/apa/d/san-diego-condo-in-beautiful-community/7180299809.html
2020-08-19 09:01:00,La Jolla,Recent remodeled condo-Villa La Jolla Drive-short walk to UCSD,8860 Villa La Jolla Dr,condo,2.0,2.0,1080.0,2595,https://sandiego.craigslist.org/csd/apa/d/san-diego-recent-remodeled-condo-villa/7180299737.html
2020-08-19 09:01:00,Carlsbad,Amazing Apartment Steps to the Beach and the Village!!,3160 Lincoln St,apartment,2.0,1.0,750.0,2100,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-amazing-apartment-steps-to-the/7177365462.html
2020-08-19 09:01:00,Carlsbad,Welcome to the Sea and Sand Apartments! Blocks Away to the Beach!!!,381 Oak Ave,apartment,1.0,1.0,600.0,1750,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-welcome-to-the-sea-and-sand/7177294838.html
2020-08-19 09:01:00,3855 38Th Street,Upstairs 2 bedroom - 1 bathroom Apt,3855 38th Street near University Avenue,apartment,2.0,1.0,,2000,https://sandiego.craigslist.org/csd/apa/d/san-diego-upstairs-2-bedroom-1-bathroom/7170238217.html
2020-08-19 09:01:00,San Diego,Spacious M2I Downtown San Diego Condo w/ Natural Sunlight & City Views,Island Ave #615,condo,2.0,2.0,1300.0,3400,https://sandiego.craigslist.org/csd/apa/d/san-diego-spacious-m2i-downtown-san/7174125971.html
2020-08-19 09:01:00,3944 33Rd Street,3rd Floor - 1 Bedroom - 1 Bathroom,3949 33rd Street near University Avenue,apartment,1.0,1.0,,1600,https://sandiego.craigslist.org/csd/apa/d/san-diego-3rd-floor-1-bedroom-1-bathroom/7163245597.html
2020-08-19 09:01:00,Carlsbad,Large 1BD Downstairs + Den with Private Patio!,3969 Adams Street,apartment,1.0,1.0,785.0,1850,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-large-1bd-downstairs-den-with/7174866610.html
2020-08-19 09:00:00,Carlsbad,Great Upstairs 1 Bedroom Apartment with a Den!,3969 Adams Street,apartment,1.0,1.0,735.0,1850,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-great-upstairs-1-bedroom/7177336578.html
2020-08-19 09:00:00,3944 33Rd Street,Upstairs 1 bedroom - 1 bath,3949 33rd Street near University Avenue,apartment,1.0,1.0,,1500,https://sandiego.craigslist.org/csd/apa/d/san-diego-upstairs-1-bedroom-1-bath/7163245939.html
2020-08-19 09:00:00,"Oceanside,Vista",BE A PART OF AN AMAZING COMMUNITY! COME TOUR A 1BED 1BATH TODAY!,,apartment,1.0,1.0,,1700,https://sandiego.craigslist.org/nsd/apa/d/be-part-of-an-amazing-community-come/7180299131.html
2020-08-19 09:00:00,Carlsbad,"4/2 Carlsbad Village, Garage and Patio",812 Home Avenue near Jefferson,house,4.0,2.0,1320.0,3495,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-4-2-carlsbad-village-garage/7180299054.html
2020-08-19 09:00:00,Del Mar,Spacious End Unit Townhome with Upgrades in Del Mar,843 America Way,condo,3.0,3.0,1688.0,3700,https://sandiego.craigslist.org/nsd/apa/d/solana-beach-spacious-end-unit-townhome/7171911123.html
2020-08-19 09:00:00,Carlsbad,Beautiful Ocean & Canyon Views from this Elegant Calavera Hills Home,3521 Rock Ridge Rd,house,3.0,5.0,2377.0,4300,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-beautiful-ocean-canyon-views/7177316227.html
2020-08-19 09:00:00,Poway,POWAY'S BEST! In Excellent Poway School District! Call Today!,,apartment,2.0,2.0,935.0,1995,https://sandiego.craigslist.org/nsd/apa/d/san-diego-poways-best-in-excellent/7180298757.html
2020-08-19 09:00:00,Vista,**2 Story Home On Cul-de-Sac**,Cochise near E East Dr,house,3.0,2.0,1441.0,2695,https://sandiego.craigslist.org/nsd/apa/d/vista-2-story-home-on-cul-de-sac/7180298687.html
2020-08-19 08:59:00,V Ista,"We've found your next apartment, and it's amazing!",173 DURIAN ST near W. VISTA WAY,apartment,2.0,2.0,,1845,https://sandiego.craigslist.org/nsd/apa/d/oceanside-weve-found-your-next/7180298362.html
2020-08-19 08:59:00,Escondido,APPLY WITH EASE FOR A 2BED 2BATH! NOW WITH $900* MOVE IN CREDIT!,2035 S. ESCONDIDO BLVD,apartment,2.0,2.0,,1935,https://sandiego.craigslist.org/nsd/apa/d/escondido-apply-with-ease-for-2bed/7180298132.html
2020-08-19 08:59:00,Imperial Beach,Adorable two bedroom and one bathroom duplex one block from the beach!,276 Elkwood Avenue near 3rd Street,duplex,2.0,1.0,,1595,https://sandiego.craigslist.org/ssd/apa/d/imperial-beach-adorable-two-bedroom-and/7180297912.html
2020-08-19 08:59:00,Lakeside,"October 30, Move in Upstairs 2 bed 2 bath",9662 Marilla Drive near Woodside,apartment,2.0,2.0,931.0,1685,https://sandiego.craigslist.org/esd/apa/d/santee-october-30-move-in-upstairs-2/7180292506.html
2020-08-19 08:58:00,"Oceanside,Vista",DON'T LET THESE SAVINGS SLIP AWAY! $900* MOVE IN CREDIT FOR THIS 2X2,1904 College Blvd near Oceanside Boulevard,apartment,2.0,2.0,,1920,https://sandiego.craigslist.org/nsd/apa/d/oceanside-dont-let-these-savings-slip/7180297664.html
2020-08-19 08:58:00,Lakeside,Upstairs 2 bed 2 bath Move in 10/30,9662 Marilla Drive near Woodside,apartment,2.0,2.0,931.0,1685,https://sandiego.craigslist.org/esd/apa/d/santee-upstairs-2-bed-2-bath-move-in-10/7180291993.html
2020-08-19 08:58:00,Carlsbad,🧡🧡🧡Everything You Need. All Right Here🧡🧡🧡,2385 Caringa Way near Altisma Way,apartment,2.0,2.0,1000.0,2345,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-everything-you-need-all-right/7180294781.html
2020-08-19 08:58:00,Escondido,2X2! DONT LET THIS AMAZING $900* MOVE IN CREDIT SLIP BY! + APPLY FREE!,2035 S. ESCONDIDO BLVD,apartment,2.0,2.0,,1935,https://sandiego.craigslist.org/nsd/apa/d/2x2-dont-let-this-amazing-900-move-in/7180296997.html
2020-08-19 08:57:00,San Marcos,2 BD 2 BATH AVAILABLE NOW~ WITH A/C ~ DETACHED GARAGE,420 Smilax Rd. near Oleander,apartment,2.0,2.0,896.0,1750,https://sandiego.craigslist.org/nsd/apa/d/vista-2-bd-2-bath-available-now-with-c/7180296938.html
2020-08-19 08:57:00,San Diego,BRIGHT REAL ESTATE Specials,,apartment,2.0,2.0,,555,https://sandiego.craigslist.org/ssd/apa/d/san-diego-bright-real-estate-specials/7178926627.html
